author,name,long_query,short_query,quote_query
Михаил Лермонтов,Бородино,Стихотворение о Бородинской битве в войне 1812 года,Сражение в войне 1812 года,"Скажи-ка, дядя, ведь не даром
Москва, спаленная пожаром,
Французу отдана?"
Владимир Маяковский,Сергею Есенину,"Прощание с другом, написанное с болью и принятием",Потеря друга,"Вы ж
такое
загибать умели,
что другой
на свете
не умел.
Почему?
Зачем?
Недоуменье смяло."
Михаил Лермонтов,Родина,Стихотворение о нестандартной любви к Родине без пафоса,Неоднозначная любовь к Родине,"Но я люблю - за что, не знаю сам -
Ее степей холодное молчанье,"
Сергей Есенин,Письмо матери,"Письмо матери от сына, полное любви и вины",Обращение сына к матери,"Ничего, родная! Успокойся.
Это только тягостная бредь."
Федор Тютчев,Весенняя гроза,"Стихотворение о грозе, бурное и радостное, как оживление природы",Радостное стихотворение о грозе,"Грохочет в небе голубом.
Гремят раскаты молодые,"
Анна Ахматова,А ты думал - я тоже такая...,"Женщина отказывается быть слабой и зависимой, с холодной решимостью",Отказ женщины быть слабой,"Будь же проклят. Ни стоном, ни взглядом
Окаянной души не коснусь"
Эдуард Асадов,Я могу тебя очень ждать...,"Терпеливое ожидание любви, герой готов ждать ради настоящего чувства",Долгое ожидание любви,"Я могу тебя очень ждать,
Долго-долго и верно-верно"
Сергей Есенин,Собаке Качалова,"Стихотворение, где поэт с нежностью обращается к собаке, как к другу",Обращение к любимой собаке,"Хозяин твой и мил и знаменит,
И у него гостей бывает в доме много"
Александр Пушкин,Узник,"Стихотворение от лица человека, томящегося в заточении, мечтающего о свободе",Мечты заключенного о свободе,"Туда, где за тучей белеет гора,
Туда, где синеют морские края,"
Иван Крылов,"Лебедь, Щука и Рак","Сказание о том, как работа не ладится, если каждый преследует свои интересы",Басня о командной работе,"Когда в товарищах согласья нет,
На лад их дело не пойдет"
